                                        city      latitude          longitude
0                                  San Diego    32.7174209       -117.1627714
1                                      Glynn    31.2171726        -81.5012681
2                                       Oahu   21.48349555   -158.03640389298
3                                    Volusia    29.0533409        -81.1310761
4                                    Brevard    28.2446658         -80.728624
5                                    Volusia    29.0533409        -81.1310761
6                                 Charleston    32.7876012        -79.9402728
7                                   Beaufort    32.4315813        -80.6698286
8                                      Kauai    22.0603342        -159.503094
9                                Kukio Beach    19.8213889       -156.0019444
10                                      Oahu   21.48349555   -158.03640389298
11                                     Marin    38.0409144       -122.6199638
12                                  Monterey     36.600256       -121.8946388
13                                   Brevard    28.2446658         -80.728624
14                                      Oahu   21.48349555   -158.03640389298
15                                Palm Beach    26.6279798        -80.4494174
16                                Palm Beach    26.6279798        -80.4494174
17                                Palm Beach    26.6279798        -80.4494174
18                                     Kauai    22.0603342        -159.503094
19                                      Maui    20.7580586       -156.3105232
20                                     Duval    30.3540073        -81.6632109
21                                  Rockaway    40.9012101        -74.5143232
22                                Fort Worth     32.753177        -97.3327459
23                         Palm Beach County    26.6279798        -80.4494174
24                                   Volusia    29.0533409        -81.1310761
25                                   Volusia    29.0533409        -81.1310761
26                                    Monroe    38.2722313        -90.1792484
27                                   Cameron    41.4586993        -78.1931833
28                                   Volusia    29.0533409        -81.1310761
29                            Bathtub Beach    27.18588305  -80.1607128521419
30                                Barnstable    41.7001132        -70.2994666
31                                  Beaufort    32.4315813        -80.6698286
32                                Barnstable    41.7001132        -70.2994666
33                                 San Mateo     37.496904       -122.3330573
34                                     Duval    30.3540073        -81.6632109
35                                  Beaufort    32.4315813        -80.6698286
36                                Georgetown    38.2097967        -84.5588311
37                                   Ventnor     39.124832        -76.4538493
38                                    Monroe    38.2722313        -90.1792484
39                                  Beaufort    32.4315813        -80.6698286
40                             Santa Barbara    34.4221319       -119.7026673
41                             Santa Barbara    34.4221319       -119.7026673
42                              Grays Harbor    47.1744169       -123.8658829
43                                Santa Cruz    36.9749416       -122.0285259
44                                Miami-Dade    25.6364246        -80.4989467
45                        Wrightsville Beach    34.2079917        -77.7955907
46                                  Beaufort    32.4315813        -80.6698286
47                                Palm Beach    26.6279798        -80.4494174
48                                  Beaufort    32.4315813        -80.6698286
49                                   Volusia    29.0533409        -81.1310761
50                                    Monroe    38.2722313        -90.1792484
51                                Charleston    32.7876012        -79.9402728
52                               Off Jupiter    26.9260832  -80.1210891406095
53                                    Orange    33.7500378       -117.8704931
54                                 San Diego    32.7174209       -117.1627714
55                                Charleston    32.7876012        -79.9402728
56                         Georgetown County    33.4392245        -79.3343041
57                                   Volusia    29.0533409        -81.1310761
58                                     Kauai    22.0603342        -159.503094
59                                     Duval    30.3540073        -81.6632109
60                             St. Augustine    29.8946952        -81.3145395
61                                   Volusia    29.0533409        -81.1310761
62                                   Brevard    28.2446658         -80.728624
63                                   Brevard    28.2446658         -80.728624
64                                   Volusia    29.0533409        -81.1310761
65                                   Volusia    29.0533409        -81.1310761
66                                  Okaloosa    30.6765961        -86.6037748
67                                   Volusia    29.0533409        -81.1310761
68                              Monterey Bay    36.7999557       -121.9010668
69                                   Brevard    28.2446658         -80.728624
70                              Indian River    27.7041555        -80.5894422
71                              Jensen Beach    27.2379528  -80.2389898890257
72                                   Brevard    28.2446658         -80.728624
73                                  St Lucie    27.3900897         -80.457904
74                                   Volusia    29.0533409        -81.1310761
75                                      Maui    20.7580586       -156.3105232
76                                     Duval    30.3540073        -81.6632109
77                                      Maui    20.7580586       -156.3105232
78                                      Maui    20.7580586       -156.3105232
79                                   Clatsop     45.980728       -123.6687499
80                                   Volusia    29.0533409        -81.1310761
81                                   Volusia    29.0533409        -81.1310761
82                                   Volusia    29.0533409        -81.1310761
83                                   Volusia    29.0533409        -81.1310761
84                                   Volusia    29.0533409        -81.1310761
85                                  Humboldt    40.5997415       -123.8997734
86                                      Oahu   21.48349555   -158.03640389298
87                                     Horry    33.9204504        -78.9578973
88                                   Volusia    29.0533409        -81.1310761
89                             Santa Barbara    34.4221319       -119.7026673
90                                   Volusia    29.0533409        -81.1310761
91                                   Volusia    29.0533409        -81.1310761
92                                 St. Johns    29.9032284        -81.4145468
93                                      Maui    20.7580586       -156.3105232
94                                   Volusia    29.0533409        -81.1310761
95                                    Monroe    38.2722313        -90.1792484
96                                   Volusia    29.0533409        -81.1310761
97                                   Volusia    29.0533409        -81.1310761
98                                    Orange    33.7500378       -117.8704931
99                                     Horry    33.9204504        -78.9578973
100                               Santa Cruz    36.9749416       -122.0285259
101                                    Essec   49.03346755   2.07718091030257
102                              Los Angeles    34.0536834       -118.2427669
103                                  Brevard    28.2446658         -80.728624
104                        Sullivan's Island    32.7616052        -79.8365159
105                                 Carteret    34.8496625        -76.5931208
106                                    Horry    33.9204504        -78.9578973
107                                  Brevard    28.2446658         -80.728624
108                                    Kauai    22.0603342        -159.503094
109                                Galveston     29.299328        -94.7945882
110                                 Carteret    34.8496625        -76.5931208
111                               Charleston    32.7876012        -79.9402728
112                                  Flagler    29.4844412        -81.2917415
113                                   Orange    33.7500378       -117.8704931
114                                    Duval    30.3540073        -81.6632109
115                             Indian River    27.7041555        -80.5894422
116                                 Pinellas    27.8778904        -82.7329309
117                                    Duval    30.3540073        -81.6632109
118                                St. Johns    29.9032284        -81.4145468
119                               Palm Beach    26.6279798        -80.4494174
120                                     Maui    20.7580586       -156.3105232
121                                  Volusia    29.0533409        -81.1310761
122                               Palm Beach    26.6279798        -80.4494174
123                                   Monroe    38.2722313        -90.1792484
124                               Palm Beach    26.6279798        -80.4494174
125                                     Maui    20.7580586       -156.3105232
126                                      Lee    41.7459056        -89.2888533
127                                   Orange    33.7500378       -117.8704931
128                                St. Lucie    27.3900897         -80.457904
129                               Palm Beach    26.6279798        -80.4494174
130                                    Kauai    22.0603342        -159.503094
131                             Off Surfside    25.8784285        -80.1256007
132                                     Maui    20.7580586       -156.3105232
133                                  Brevard    28.2446658         -80.728624
134                               Palm Beach    26.6279798        -80.4494174
135                               Palm Beach    26.6279798        -80.4494174
136                                  Brevard    28.2446658         -80.728624
137                                   Hawaii    21.2160437        -157.975203
138                                  Brevard    28.2446658         -80.728624
139                                  Brevard    28.2446658         -80.728624
140                                  Broward    26.1598074        -80.4623642
141                                     Oahu   21.48349555   -158.03640389298
142                          San Luis Obispo    35.2827525       -120.6596156
143                                 Beaufort    32.4315813        -80.6698286
144                                     Oahu   21.48349555   -158.03640389298
145                                St. Lucie    27.3900897         -80.457904
146                                Galveston     29.299328        -94.7945882
147                                  Volusia    29.0533409        -81.1310761
148                               St.  Johns    29.9032284        -81.4145468
